rainfall_mm,duration_hr,wind_speed_kmph,humidity_pct,temperature_c,pressure_hpa,antecedent_rain_3d_mm,elevation_m,slope_pct,drainage_vulnerability,imperviousness,soil_infiltration,city,area,latent_score,risk_class
38.0,13.0,31.3,79.3,29.0,1010.9,34.1,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,13.495,0
80.0,3.7,26.2,79.8,20.6,1007.2,22.1,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,158.803,2
42.7,7.0,1.3,51.4,29.3,1007.9,11.1,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,19.279,1
97.9,5.3,21.2,59.5,24.7,1014.3,9.9,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,195.513,2
78.9,15.7,12.5,73.0,28.2,1011.0,10.1,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,30.548,1
82.1,12.7,16.0,54.1,29.1,1013.0,13.0,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,41.001,1
351.0,22.8,28.0,100.0,20.3,1005.7,2.9,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,110.907,2
67.0,9.3,22.2,56.5,32.1,1011.8,4.1,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,37.982,1
400.0,7.7,20.3,90.2,15.3,1000.7,11.0,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,250.0,2
174.2,2.4,9.7,85.5,26.0,1005.8,18.6,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,250.0,2
108.0,5.1,18.2,79.2,24.2,1008.0,22.1,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,233.518,2
356.0,6.2,15.5,100.0,23.1,1006.4,16.2,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
299.3,8.0,13.2,94.8,20.0,1007.2,30.2,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
206.0,9.2,45.1,85.4,23.5,1000.5,6.1,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,180.643,2
10.3,10.2,31.2,67.7,30.5,1010.4,27.4,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,5.052,0
121.2,5.5,15.7,78.5,29.8,1010.4,10.2,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,250.0,2
153.5,8.0,30.7,85.8,27.6,1007.7,79.7,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,250.0,2
79.5,7.6,29.9,72.4,31.5,1006.7,3.7,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,56.023,1
4.2,15.9,32.8,47.0,31.4,1004.6,21.7,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,2.681,0
7.0,10.1,21.4,68.1,33.9,1010.7,36.6,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,3.151,0
315.2,8.3,25.9,89.5,19.9,1007.4,12.5,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,250.0,2
331.4,7.6,39.7,77.4,27.8,1009.4,19.9,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,250.0,2
42.9,11.5,22.2,53.7,26.5,1008.2,5.3,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,19.77,1
291.4,25.5,24.2,100.0,20.1,996.9,11.2,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,99.517,2
14.7,4.2,21.0,77.7,28.6,1008.6,5.0,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,13.916,0
90.3,4.7,13.3,64.9,23.4,1011.0,2.6,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,122.607,2
145.3,7.1,28.5,74.6,21.7,1008.6,11.7,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
66.6,6.8,31.8,61.5,29.2,1014.6,187.7,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,162.457,2
61.9,5.7,7.8,66.0,24.5,1009.7,6.5,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,81.778,2
400.0,8.8,13.2,85.6,27.2,1006.8,23.2,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,250.0,2
100.5,17.0,25.7,65.0,26.2,1005.6,4.8,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,47.01,1
61.1,7.0,42.0,76.6,27.7,1006.6,7.2,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,62.774,2
17.7,4.5,27.0,69.2,34.7,1008.2,17.8,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,30.781,1
71.0,4.6,33.3,61.6,27.3,1005.3,2.7,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,105.393,2
113.2,2.8,30.3,71.3,29.0,1011.5,4.9,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,250.0,2
20.7,6.2,18.8,56.3,30.8,1007.3,5.9,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,13.562,1
59.4,4.2,36.2,71.8,33.0,1004.8,22.0,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,80.904,2
21.1,2.5,9.6,68.1,31.8,1008.3,17.4,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,63.727,2
13.4,15.7,14.3,60.6,30.4,1010.2,6.3,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,6.155,0
13.2,31.7,26.9,64.3,34.0,1008.7,39.1,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,2.99,0
135.5,1.9,24.9,69.3,26.7,1007.6,9.0,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,250.0,2
4.8,17.8,2.3,62.4,35.7,1010.2,2.2,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,0.991,0
86.8,8.8,2.1,73.2,29.2,1007.8,12.7,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,84.456,2
356.0,4.5,0.0,100.0,21.8,1001.2,2.9,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,250.0,2
19.8,15.7,19.2,55.0,35.3,1013.3,0.8,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,3.404,0
27.4,14.1,18.9,60.8,25.0,1010.6,31.9,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,10.085,0
68.3,2.4,20.9,64.3,25.8,1008.7,30.3,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,229.315,2
12.5,11.2,44.9,63.4,26.4,1011.2,74.1,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,8.702,0
9.3,11.6,20.9,68.0,25.5,1011.2,62.3,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,3.847,0
128.5,5.0,42.1,88.9,27.6,997.7,21.3,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
146.2,48.0,35.8,67.8,27.8,1007.2,6.0,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,22.814,1
50.7,3.3,12.2,81.7,27.0,1008.8,3.3,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
400.0,6.8,26.5,95.5,24.9,999.5,12.9,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
19.4,25.8,36.7,78.2,32.2,1005.1,10.4,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,4.342,0
74.5,9.5,20.8,62.8,31.5,1004.4,5.8,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,121.576,2
60.7,10.1,30.3,63.2,25.0,1005.2,4.4,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,39.64,1
105.2,14.7,23.9,71.8,27.7,1007.0,14.4,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,42.303,1
15.1,3.0,10.8,57.7,23.8,1010.3,39.2,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,22.182,1
56.5,11.4,16.0,73.9,27.8,1012.0,1.9,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,28.289,1
52.0,28.7,35.6,60.7,30.1,1008.8,28.1,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,29.126,1
88.0,14.1,40.9,79.1,27.0,1010.1,1.2,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,35.402,1
10.9,2.6,17.8,54.5,34.2,1010.0,215.5,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,31.923,1
376.3,8.7,19.9,100.0,20.0,1006.4,24.6,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,250.0,2
66.6,7.4,61.1,74.1,23.7,1005.5,16.2,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,66.434,1
132.3,4.2,24.9,68.5,22.6,1010.7,39.1,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,242.276,2
10.8,14.0,11.0,56.6,29.8,1009.2,115.5,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,5.665,0
22.0,12.9,25.8,65.3,33.7,1008.6,42.1,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,4.8,0
33.5,11.2,12.1,64.5,30.8,1008.0,141.3,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,26.976,1
378.1,23.2,34.3,100.0,16.9,1000.6,3.3,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
121.1,8.1,14.0,71.4,25.8,1005.2,5.9,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,102.596,2
32.8,26.6,10.5,75.5,27.9,1005.4,72.1,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,15.026,1
106.3,4.3,30.9,58.4,28.0,1002.1,6.9,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,230.562,2
124.3,10.8,30.2,62.8,30.7,1005.8,37.6,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,148.929,2
111.1,5.1,36.4,70.0,25.2,1001.7,6.2,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,212.243,2
400.0,9.4,23.9,100.0,18.8,999.8,20.6,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,250.0,2
49.9,4.4,4.4,74.0,30.1,1010.7,3.9,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,65.273,2
239.5,3.4,15.7,99.4,26.3,1009.7,8.3,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
56.1,30.5,38.0,64.0,34.7,1007.8,2.6,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,21.088,1
347.3,9.2,4.7,85.1,23.3,1005.3,31.3,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,250.0,2
3.8,20.6,40.8,58.5,35.2,1009.8,44.7,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,1.79,0
21.4,9.4,18.6,81.7,31.5,1011.5,5.4,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,24.24,1
368.6,33.6,19.5,100.0,28.7,996.9,9.3,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,85.25,2
400.0,7.7,7.9,94.3,18.9,995.6,51.1,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,250.0,2
3.2,4.5,17.4,63.5,26.7,1010.6,15.7,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,3.578,0
28.8,9.7,29.2,69.4,31.9,1006.6,56.2,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,25.017,1
85.9,6.4,28.4,80.0,25.9,1002.9,20.2,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,126.541,2
17.1,31.6,33.5,67.2,26.8,1003.9,15.7,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,3.163,0
163.6,14.6,39.4,66.7,27.2,1005.9,25.4,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,149.316,2
95.3,7.8,29.1,54.7,30.4,1008.1,5.5,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,75.955,2
67.2,29.0,40.1,74.7,32.5,1006.4,3.7,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,12.521,0
103.6,16.5,52.4,62.9,26.9,1007.7,24.2,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,78.031,2
63.9,9.4,35.9,63.7,22.7,1005.0,1.9,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,24.093,1
19.8,12.9,18.1,69.5,24.1,1007.7,9.4,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,3.988,0
23.0,20.8,13.5,57.4,27.6,1012.8,1.7,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,6.019,0
95.9,21.3,11.1,73.4,25.7,1006.2,2.6,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,34.144,1
39.5,2.1,37.1,66.1,31.2,1008.6,9.0,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,168.304,2
26.7,8.1,0.0,69.9,28.4,1011.0,28.0,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,13.389,0
46.2,29.1,24.5,56.2,28.7,1006.4,3.3,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,10.581,0
20.3,8.7,21.5,88.6,31.2,1006.2,24.2,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,12.716,0
357.4,5.1,10.1,94.1,25.9,998.0,24.8,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,250.0,2
110.6,8.2,20.7,64.7,27.0,1006.7,13.8,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,129.26,2
21.9,2.6,34.7,65.0,28.4,1008.7,5.0,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,65.027,1
20.5,17.4,27.1,64.7,26.3,1004.7,46.1,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,6.642,0
102.6,4.2,19.6,64.5,24.1,1005.7,0.4,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,192.534,2
132.1,7.1,34.5,65.3,28.3,1002.1,3.3,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
233.6,13.6,20.7,80.9,22.6,1007.2,12.0,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,166.656,2
135.3,2.7,25.7,58.3,21.9,1013.9,13.1,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,250.0,2
13.5,11.5,0.5,54.0,22.9,1012.0,27.6,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,4.258,0
71.9,2.0,49.0,71.9,24.7,1008.1,1.6,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,250.0,2
52.8,7.7,14.0,75.3,31.1,1009.1,4.1,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,23.165,1
71.7,5.6,39.1,54.5,30.6,1005.4,10.7,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,71.98,1
6.1,7.7,16.1,65.7,31.1,1012.1,12.1,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,2.479,0
386.7,9.0,19.6,94.1,21.7,1003.6,38.4,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,250.0,2
105.6,4.5,13.1,65.1,24.0,1009.1,7.5,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,182.665,2
83.4,10.3,6.0,69.4,27.5,1004.0,3.1,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,53.181,1
73.8,5.7,47.1,75.8,30.5,1005.6,15.4,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,80.912,2
83.3,7.4,21.9,72.0,24.0,1005.8,3.7,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,100.119,2
272.0,12.3,19.7,84.9,22.4,1003.7,2.8,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,250.0,2
182.1,6.6,17.1,76.2,23.3,1010.7,29.5,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
400.0,13.6,6.0,94.6,25.0,999.9,7.8,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
2.1,6.9,14.5,64.1,34.1,1012.6,4.7,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,0.794,0
87.4,3.0,16.8,70.0,28.6,1009.5,22.2,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,250.0,2
81.1,7.1,25.8,73.4,30.2,1007.8,28.9,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,135.255,2
29.4,6.4,19.9,63.3,28.0,1009.0,10.8,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,26.086,1
32.4,21.2,10.9,51.0,35.5,1005.1,14.9,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,8.275,0
29.6,4.8,17.2,52.0,30.0,1011.8,46.5,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,34.765,1
400.0,5.2,14.4,98.1,15.0,999.5,9.1,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,250.0,2
75.1,11.4,24.2,67.1,30.2,1009.7,4.4,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,23.435,1
188.4,8.7,25.1,67.2,24.5,1010.7,2.7,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,249.528,2
24.1,1.2,10.3,66.5,34.6,1013.3,8.9,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
292.8,3.8,48.6,92.7,23.6,996.5,11.9,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,250.0,2
35.3,3.8,19.1,71.8,31.9,1010.8,2.5,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,44.946,1
398.3,3.6,26.7,100.0,21.2,1001.4,18.4,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,250.0,2
8.9,3.4,50.0,53.0,32.2,1007.8,15.6,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,10.436,0
85.0,17.6,18.1,74.9,33.1,1009.0,29.3,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,36.556,1
13.0,11.2,41.7,78.4,32.2,1001.9,11.8,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,4.894,0
84.3,7.5,29.6,62.2,30.7,1013.9,5.0,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,70.626,2
125.2,32.3,27.5,80.2,26.3,1011.9,148.1,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,68.363,1
49.2,7.0,30.2,72.1,29.4,1008.3,59.3,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,47.259,1
2.5,18.2,27.6,80.9,36.3,1004.5,7.4,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,1.16,0
30.2,48.0,38.3,53.5,26.3,1011.6,22.8,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,4.402,0
160.4,11.6,2.5,79.9,30.5,1012.4,4.0,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,137.837,2
32.7,12.1,19.2,73.3,27.1,1007.2,152.6,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,16.964,1
23.6,2.9,0.0,62.5,31.5,1010.1,4.4,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,41.338,1
34.3,7.4,28.0,78.4,30.0,1012.2,3.7,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,21.525,1
26.5,4.1,27.2,70.5,26.2,1008.0,4.6,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,59.173,1
56.5,19.7,36.1,69.9,30.3,1012.5,5.1,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,13.233,0
176.0,10.6,24.4,74.7,27.0,1006.8,11.4,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,79.03,2
3.0,8.1,22.6,54.4,32.5,1012.0,1.3,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,1.709,0
55.6,12.8,10.2,57.6,28.4,1008.8,6.1,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,26.495,1
344.6,12.0,8.0,86.9,23.3,1003.8,10.6,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,250.0,2
275.6,23.0,19.9,87.0,19.2,1006.3,5.5,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,90.57,2
36.6,10.8,5.9,71.7,25.9,1010.3,2.8,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,14.673,1
13.7,12.1,29.5,73.0,32.1,1008.3,3.6,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,4.42,0
74.1,18.3,21.6,63.5,30.7,1013.9,59.2,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,44.424,1
180.5,17.7,24.0,75.8,21.4,1003.4,28.8,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,97.828,2
27.1,15.5,22.0,58.7,31.4,1018.3,6.0,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,7.302,0
90.0,8.3,20.1,57.1,27.6,1009.4,14.6,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,77.727,1
4.3,11.1,38.7,56.7,35.5,1015.0,14.8,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,3.046,0
17.5,11.5,15.2,72.1,31.7,1009.3,8.9,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,7.592,0
3.4,10.5,13.8,59.3,29.3,1006.9,8.5,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,2.52,0
215.7,7.0,35.8,81.2,22.5,1005.2,27.8,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,250.0,2
0.9,7.1,8.5,67.3,25.4,1009.3,21.2,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,0.425,0
106.5,25.2,15.0,74.8,26.6,1011.8,11.0,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,33.118,1
91.2,9.8,19.3,80.8,32.9,1009.2,2.3,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,35.929,1
80.3,4.9,27.9,67.7,23.4,1005.9,18.1,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,165.561,2
14.9,5.7,13.5,63.7,36.0,1007.0,147.3,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,19.761,1
2.6,1.3,8.5,53.8,32.4,1012.6,9.0,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,8.682,0
229.8,10.1,21.5,66.7,15.6,1005.5,38.6,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,237.064,2
51.6,11.3,49.5,68.4,34.0,1006.7,30.1,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,20.905,1
3.8,4.5,0.0,66.0,33.0,1011.9,26.5,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,2.492,0
1.6,18.4,23.3,64.7,27.3,1005.7,27.1,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,0.883,0
165.9,18.1,13.3,67.5,30.1,1001.5,10.3,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,84.439,2
6.2,6.9,17.0,77.3,28.3,1005.7,23.1,300.0,1.0,0.74,0.86,0.25,Tirupur,Avinashi Road,2.833,0
19.0,11.2,12.3,54.8,28.7,1009.5,26.6,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,7.166,0
72.8,6.2,26.0,66.6,27.7,1007.3,23.4,10.0,0.4,0.88,0.7,0.25,Chennai,Mudichur,138.255,2
368.6,8.3,25.1,95.5,21.8,999.9,13.9,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,250.0,2
322.2,4.2,22.9,89.1,26.7,1000.6,4.6,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,250.0,2
15.5,8.7,7.3,56.9,33.2,1009.1,183.8,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,4.274,0
